"","Series","n","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"4361","Y16468",20,0.0361992336848093,0.0752068178565645,0.0362027821251421,0.030403886602824,0.0633156034201117,1.72335600907029,3.41262052620469,1.72352855683102,1.42596993949225,3.07082472188862
"4362","Y16469",20,0.0751051678429649,0.010899753587786,0.0614778407179497,0.032315401101005,0.0238300032846651,2.57034632034632,0.38961038960198,2.21172343046576,1.13887037323173,0.850163332176497
"4363","Y16470",20,0.0113149935152709,0.0599847225774522,0.0474407518752593,0.0537375043036279,0.0334178062403008,0.501650165016502,2.76072607261487,2.165470218353,2.46309814548393,1.51104038987499
"4364","Y16471",20,0.0115582097501854,0.0331166526221588,0.0186339660357461,0.0259155803632754,0.0324396037279571,0.618939393939394,1.81617613215896,1.00987783224492,1.41302698220194,1.77851020252338
"4365","Y16474",20,0.0567535112207435,0.211256234729284,0.0745503436780371,0.0621544799959036,0.0268437508949618,2.41960093896714,8.27245380423824,3.32695117164347,2.63607539011744,1.16682497559345
"4366","Y16475",20,0.0335051962215037,0.0335051962215037,0.0335113356891167,0.0335082659601024,0.0232456865229405,1.30392156862745,1.30392156862745,1.30416524157242,1.30404340509994,0.898716140175513
"4367","Y16476",20,0.0597448418567771,0.282242729880489,0.0403786704180681,0.106704377538453,0.01872725937052,2.06751389992057,8.60752476503967,1.44667192061287,3.5804264222134,0.660404137826695
"4368","Y16477",20,0.038696992756997,0.0590764201506618,0.109818509403504,0.0847835190756362,0.0171128033290694,1.19434832756632,1.89388696655778,3.60477313543323,2.74933005099551,0.526090642076182
"4369","Y16478",40,0.0386496560910419,0.0328037788095124,0.0271608178165747,0.0299883693218352,0.0471852276813635,3.10813492063493,2.62849696553888,2.16908385031983,2.39879040792935,3.81452967811914
"4370","Y16480",20,0.0155968458869188,0.00893021175039625,0.0411398451896426,0.0182233923951539,0.0202216391987139,1.16111111111111,0.663395919977387,2.9529053270193,1.33253191503964,1.50922778094054
"4371","Y16481",20,0.0199332842940642,0.0639668052479488,0.0967422321553961,0.0801615544723231,0.00548864861076912,1.64535330261136,5.13727573490871,7.60418641104155,6.37073107297513,0.457869102003652
"4372","Y16482",20,0.0380714445838873,0.0285599807230677,0.0380685029193671,0.0215947037074907,0.0405428120599709,1.31601731601732,1.00021729194214,1.31591854362459,0.756433052009694,1.39887551214437
"4373","Y16483",20,0.0616752876420869,0.0500565746297728,0.0616792008952525,0.0501822898425327,0.0891119766813473,1.83333333333333,1.48143312480138,1.8334555755901,1.4802975887549,2.70946614813561
"4374","Y16484",20,0.0400730331289098,0.128595901403361,0.18604884632891,0.156360690907247,0.026441517998038,3.10006613756613,9.44770930832147,13.1581580310584,11.3029336696899,2.06639705184035
"4375","Y16485",20,0.0592750171576844,0.079827962941842,0.0592842767110199,0.00986756250978888,0.0802840777513564,1.49203734211971,1.86754764107137,1.4922784377492,0.241208099080017,2.04670118704634
"4376","Y16486",20,0.134581015184756,0.070903545218407,0.1345715284691,0.100735609733282,0.13556505682196,4.82307692307692,2.65473357500965,4.82276979499091,3.69691696902219,4.85502211947898
"4377","Y16487",20,0.184638583841635,0.0865137344572357,0.080000217362699,0.083250964543515,0.135805809703388,6.60302197802198,3.29532967032967,3.06264983825972,3.1789897542947,5.00194521671392
"4378","Y16488",20,0.103918185170549,0.133182753261738,0.103915465097996,0.118447212180475,0.0847852161654927,3.91738505747126,4.92935496061537,3.91728950558216,4.42329834512649,3.23616880519994
"4379","Y16489",20,0.0343372804805178,0.149827464094368,0.264568044897679,0.20505530516619,0.00790012092457326,1.34353388658368,5.47876129360654,9.02538475362997,7.25207302361826,0.306988490416913
"4380","Y16491",20,0.0983352121301185,0.0983352121301185,0.0983357550706995,0.0983354836003738,0.0621611920871445,2.89453125,2.89453125,2.89454613136469,2.89453869068235,1.88045457218472
"4381","Y16492",20,0.0828403355321225,0.0648398626677641,0.0366339846283567,0.0494903911861245,0.0599675151018964,4.55612244897959,3.59689809757809,2.06659588213911,2.77210993791406,3.34362962007562
"4382","Y16493",20,0.0836964851723549,0.270004884323762,0.0836858671064541,0.172497805918851,0.0620643369349443,3.65098039215686,10.6886166542157,3.65054034956967,7.16957850189268,2.7422793947856
