"","Series","Naive2","Comb","ARIMA","ETS","ETSARIMA","Naive2.1","Comb.1","ARIMA.1","ETS.1","ETSARIMA.1"
"172","W172",0.0126151287536806,0.00960165860464143,0.0146183529868665,0.00634422278490396,0.0104103247834983,4.21747601728041,3.21642377538092,4.88082011575408,2.12987355472529,3.48515706106561
"173","W173",0.121968941377514,0.105984379632328,0.111801808360939,0.104654900122284,0.108213732587312,1.40344464167247,1.23353245775269,1.29549202919459,1.21922002648308,1.25735602783884
"174","W174",0.00610283387445171,0.00567671739803625,0.00582948820161422,0.00576556775632024,0.00557529729260397,1.07090390838811,0.996121238647025,1.02293053689356,1.01175182920417,0.978247690098065
"175","W175",0.0145946130589939,0.0102644384181008,0.00507450986111614,0.00645139814910898,0.00570577769273889,4.30217342759117,3.03458649767485,1.50490739694109,1.9120015649834,1.69180884738037
"176","W176",0.0191232413798232,0.0174054605923419,0.0282383132211983,0.0158568539050303,0.0214968492123223,2.39563800137428,2.17867616751414,3.55829755883101,1.98342185781395,2.69672113247757
"177","W177",0.0419605249883612,0.0342937166305858,0.0341685372850633,0.0345324928804855,0.0343504591774913,1.70074420363403,1.39715632947892,1.39217349509804,1.40666199140239,1.39941774325021
"178","W178",0.0559933448884972,0.0554993230024706,0.0513897049784849,0.0559892315978627,0.0536926985881608,6.23626301124631,6.17951390778654,5.7087724736208,6.23579037957628,5.97228142659853
"179","W179",0.00593857869131898,0.00461935044909626,0.00368048033514647,0.00341909307266651,0.00354964893875289,2.01278428601632,1.56757895202899,1.24958316135076,1.16025749151704,1.2049203264339
"180","W180",0.0102487287883942,0.00904314635821206,0.00712181949964905,0.0102492237195973,0.0086838986435528,2.1952415325586,1.93851172175608,1.52849334637419,2.19534684569984,1.86192009603701
"181","W181",0.0182569471142314,0.01682634046571,0.0145420950152971,0.0136788117131141,0.0141103355511339,6.06732768308725,5.59665773277756,4.84336784659495,4.55811156473818,4.70073970566657
"182","W182",0.0612170335175065,0.072110582638173,0.0919521845174728,0.0618361376674644,0.0767542306880982,4.89784287708103,5.72924347947066,7.21498843056777,4.94536293572648,6.08017568314713
"183","W183",0.023839575162057,0.0225779853651157,0.0201001363758459,0.0200925415473195,0.0200963389529128,6.17561820381006,5.85301483333557,5.21790230715197,5.21595281036589,5.21692755875894
"184","W184",0.0120842842335483,0.00805414962860352,0.00385987616885217,0.004343750088946,0.00410176237083525,5.16091426243198,3.44835317837005,1.65709367028645,1.86367232399917,1.76038299714281
"185","W185",0.0119113228659972,0.00786266404635988,0.00425401781972565,0.00449713649849535,0.00431774890642051,3.91582670021137,2.5921358760924,1.40540099238887,1.48536400023858,1.42646538596389
"186","W186",0.0148940873939225,0.0188244967843533,0.0153270632691343,0.0153827980563514,0.0153549287387017,2.78766392442656,3.51322222253512,2.86776916152299,2.87807804339006,2.87292360245653
"187","W187",0.0181456343584993,0.0291701520239156,0.0210692678765,0.0329272889443876,0.026446363916651,1.44628983640469,2.30859368610943,1.67645393946221,2.60073263478388,2.09728996189154
"188","W188",0.0162492287501179,0.0138162902118271,0.0162492287501179,0.0153576973585708,0.0158036503108436,0.515154074014503,0.437176047162986,0.515154074014503,0.486534028198718,0.50084405110661
"189","W189",0.078974714562775,0.0829114131017221,0.0761571335819606,0.0829939504272071,0.0795689053713467,3.43162008508543,3.59398183106882,3.31494648044379,3.59737472183487,3.45616060113933
"190","W190",0.03401595388817,0.0233509475744088,0.022115262849,0.0217290693434528,0.0219222231110745,1.43577132120984,0.980868201451348,0.929317291930094,0.913171956239494,0.921244624084794
"191","W191",0.107868107284893,0.10794496846303,0.102560824735261,0.105497803326748,0.104028276325916,2.83485291971738,2.83679304214433,2.70368133322258,2.77635588441123,2.7400186088169
"192","W192",0.0384765575108551,0.0365208947852316,0.0346597045325077,0.0361767353315304,0.0354185794622244,0.901855169271268,0.854585434596312,0.809718257331207,0.846280405249484,0.827999331290346
"193","W193",0.0227050603448275,0.022680769130334,0.0223039388740979,0.0227035261701725,0.0224659737856196,1.35513175445784,1.35361666752326,1.33104934864778,1.35503920794326,1.3407339412185
"194","W194",0.0334769517157465,0.0579434418368395,0.0993426981100117,0.0334758323133846,0.0656965737831518,0.431210410205416,0.735247283223884,1.22722029754538,0.431196285416436,0.829208291480909
"195","W195",0.0507355954694373,0.0524613098770926,0.0479798609380234,0.026190216166736,0.0368833340176338,1.64909728245279,1.70310039355763,1.56184509444279,0.861749410812286,1.20793328751597
"196","W196",0.0368806449723991,0.0499069867759137,0.0608694179796553,0.0761991772732121,0.0684995210609761,1.95828655615613,2.62964047150374,3.18807684782617,3.95641391431061,3.57224538106839
"197","W197",0.0147222936925774,0.0594845722609184,0.0162619193731405,0.0515780625719761,0.0281905043432176,0.66814492128477,2.60998556403658,0.737756985235897,2.27856559008705,1.26435236653934
