"","Series","n","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"268","Q11201",102,0.0464840322680656,0.0798801650510446,0.0702008295237183,0.0750543193506319,0.0873269907554098,0.674330161570546,1.18730505342542,1.03646018800989,1.11188262071766,1.30368276446096
"269","Q11202",102,0.0456287149632856,0.0422120093812412,0.043345357895877,0.0425808993729897,0.0621850613299976,0.820417810243189,0.755353107212696,0.777129011450981,0.762155370076809,1.13576357967703
"270","Q11203",102,0.0990194162173961,0.0699337209971884,0.0758799410922216,0.0718549127179294,0.0864893388592384,1.69216158132582,1.22151752085137,1.31737158243481,1.25284979740319,1.48869094134768
"271","Q11204",102,0.387764198522909,0.293442256038156,0.27466025104183,0.284462788356069,0.294027780444127,2.27774816306684,1.7676276755914,1.63838446601331,1.70300607080236,1.78127369594345
"272","Q11798",115,0.119914594474794,0.0802081255245695,0.0912642307837407,0.0857165925293758,0.0988611259536648,2.81778679325894,1.93249129119529,2.18368084307813,2.05808606713671,2.35182386336193
"273","Q11803",115,0.0452551036459661,0.0405095382134023,0.0389912744923127,0.0395136367356432,0.0397781301442691,1.38057305871863,1.24885208132317,1.20102717634489,1.21755036724939,1.22220043504769
"274","Q11804",115,0.0394826296079639,0.0304950289193382,0.0325321491732295,0.031525567730974,0.0334201994049903,1.00097105429597,0.772117026299977,0.822036386572967,0.797076706436472,0.843202869229295
"275","Q11805",88,0.0800174676448985,0.0569754913498991,0.0625388282355476,0.0591583832549215,0.0595892026621254,1.32568484276069,0.952531722205449,1.04727060140362,0.991106732546396,0.99954706615514
"276","Q11806",115,0.057015193613077,0.0561633196240243,0.0663311594776296,0.0606193004741009,0.0565684330179409,1.07749294309811,1.06178332816591,1.26416671587379,1.15041583915162,1.069198272002
"277","Q11812",115,0.0692932341774783,0.0575144308478821,0.057346459335938,0.0574368563305454,0.0597812420266093,1.27713635157862,1.05693210887366,1.05322161491651,1.05507686189508,1.09428489768355
"278","Q11813",115,0.0667947342550721,0.0305541889593663,0.0305823364645762,0.0293047817645889,0.0437165439602666,1.92695442518307,0.902921612284323,0.903184006632619,0.865625894630743,1.2819807748683
"279","Q11814",115,0.215539635781582,0.120758569362685,0.14964766959455,0.113017922395383,0.0861680306000999,1.31691344411694,0.721172783403533,0.874444101319897,0.656904790866669,0.468540762920527
"280","Q11815",115,0.0365250811412163,0.0583167082586947,0.0895251568616423,0.0731050641426057,0.051998373562664,0.576851705886467,0.934748239627654,1.467935710352,1.18485516972725,0.830821607144925
"281","Q11817",115,0.0190823502258694,0.0204776432097623,0.0182987655318246,0.0193874152546918,0.0194104988115588,1.05157342507505,1.12697306916755,1.00938342491123,1.06817824703939,1.06926686708255
"282","Q11818",115,0.00784120594890133,0.00782173919280853,0.00583823821966194,0.00592607182008752,0.00559448993749444,0.469614780712932,0.467548264745995,0.348655601343419,0.353944312029961,0.333908521505628
"283","Q11819",115,0.0466834589356465,0.023772319024171,0.0183514114761396,0.0210609912398262,0.0161003854070174,2.38583614547692,1.1961277482836,0.921976590619214,1.05905216945141,0.80829877946342
"284","Q11820",115,0.0327421276199377,0.0307608401953724,0.0332514044745702,0.0314646884590396,0.030454806450154,0.830206031065999,0.781378897366654,0.843102479948512,0.798871838695037,0.77305700706402
"285","Q11821",115,0.0211871059726012,0.0217326074729958,0.0171626316229492,0.0194529371729294,0.0203353666504306,0.981781720466092,1.00744807494015,0.792741725722635,0.900094900331389,0.941474433524225
"286","Q11822",115,0.0272215533485634,0.0254662388648,0.026183215019153,0.0249655341063808,0.0261229378400476,1.2996766120234,1.21422972961192,1.24825950972898,1.18979184225156,1.2453700296698
"287","Q11823",115,0.0932563868966163,0.0791134149793248,0.106976551734702,0.0932237987301369,0.0896673358612425,1.31584763133678,1.10496811262218,1.52670513641895,1.31583662452057,1.26202853648216
"288","Q11824",115,0.028427748988162,0.017008322317031,0.0223715692029452,0.0196966615431474,0.021159821080036,1.47698518501933,0.876608298270297,1.15713163439309,1.01686996633169,1.09353344034109
"289","Q11825",115,0.0534426965252397,0.0388896322549976,0.0392173260975515,0.0389650883751605,0.0460721903208816,1.44541315905399,1.06021476820305,1.06884350317181,1.06218411056409,1.25183328614788
"290","Q11826",115,0.0461954904146609,0.0382587398847994,0.0377459309853132,0.0380022718991551,0.0415475892699546,1.36017113383506,1.13062192233815,1.11571260145964,1.12316726189889,1.22568626540426
"291","Q11827",88,0.147355493080586,0.139670448520558,0.126960996317977,0.131139223458508,0.126299010521721,1.39355185685221,1.30554519740704,1.17947878818668,1.22199283148128,1.17040366385739
"292","Q11828",88,0.0713973074670985,0.0466399869152907,0.0665428435081584,0.0566618256290207,0.0683894027052493,1.32881894662082,0.850217069684076,1.231395183391,1.04080612653754,1.27010654066818
"293","Q11829",115,0.00963555268718249,0.0102636249758406,0.00983888298595212,0.0100513685433343,0.00958734227064773,0.657156414608751,0.699853783843797,0.67098079314445,0.685417288494124,0.653903749352966
